session_timestamp,cam_idx,cam_name,frames,total_runtime_s,avg_fps,avg_latency_ms,inference_runs,avg_inference_ms,total_inference_ms,unique_persons,log_csv,roi_dir,avg_proc_rss_bytes,peak_proc_rss_bytes,avg_proc_cpu_percent,avg_gpu_mem_bytes,peak_gpu_mem_bytes,config
1970-01-01 00:00:00,2,Front_left,266,26.016261339187622,10.22,51.6,134,92.8,12437.7,3,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,267,25.996570110321045,10.27,52.0,134,94.2,12628.5,2,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,488,45.6363320350647,10.69,60.0,245,107.8,26411.8,4,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,488,45.53406763076782,10.72,60.5,245,108.5,26579.8,5,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,492,45.57780575752258,10.79,59.4,247,107.7,26598.8,3,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,492,45.6795551776886,10.77,59.7,247,108.9,26887.6,4,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,310,26.74142813682556,11.59,52.2,156,92.8,14473.3,2,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,310,26.832072019577026,11.55,52.6,156,93.7,14620.5,4,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,310,26.78054904937744,11.58,51.6,156,92.7,14463.5,3,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,311,26.702949047088623,11.65,51.7,156,93.5,14591.0,2,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,32,2.8753271102905273,11.13,60.1,17,102.1,1736.0,1,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260407.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,30,2.7297658920288086,10.99,62.3,16,105.1,1681.3,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260407.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,32,2.8237452507019043,11.33,58.8,17,100.8,1712.9,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260407.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,31,2.7019553184509277,11.47,58.4,16,103.1,1649.5,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260407.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | cpu | PC roi loaded | Monitor roi loaded | show,yolov8s
